audience,movie_code,movie_name,openDate,rank,recordDate,image_url,rating,review_link,act_name,act_name_en,director_name,director_name_en,distributor,genre,grade,grade_type,movie_name_en,movie_name_ori,nations,open_date,open_year,producer,show_time
2224910,20184105,말모이,20190109,1,20190120,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167699_P40_175859.jpg,9.04,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167699,"유해진,윤계상,김홍파","YOO Hae-jin,YOON Kye-sang,KIM Hong-pa",엄유나,EOM Yuna,롯데컬처웍스(주)롯데엔터테인먼트,드라마,12세이상관람가,2018-MF02396,MAL·MO·E: The Secret Mission,,한국,20190109,2018,더램프(주),135
1597260,20176251,내안의 그놈,20190109,2,20190120,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164172_P26_152224.jpg,8.67,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164172,"박성웅,진영,라미란","PARK Sung-woong,Jin-young,RA Mi-ran",강효진,KANG Hyo-jin,(주)메리크리스마스,"판타지,코미디",15세이상관람가,2018-MF01859,The Dude in Me,,한국,20190109,2018,"(주)에코필름,(주)전망좋은 영화사",122
339707,20182544,글래스,20190117,3,20190120,https://ssl.pstatic.net/imgmovie/mdi/mit110/1638/163826_P07_174644.jpg,7.69,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163826,"제임스 맥어보이,브루스 윌리스,사무엘 L. 잭슨","James McAvoy,Bruce Willis,Samuel L. Jackson",M. 나이트 샤말란,M. Night Shyamalan,월트디즈니컴퍼니코리아 유한책임회사,"드라마,미스터리,SF,스릴러",15세이상관람가,2018-MF02461,Glass,,미국,20190117,2018,,129
1606967,20189463,주먹왕 랄프 2: 인터넷 속으로,20190103,4,20190120,https://ssl.pstatic.net/imgmovie/mdi/mit110/1526/152632_P19_104759.jpg,8.76,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152632,"존 C. 라일리,사라 실버맨,맨디 무어","John C. Reilly,Sarah Silverman,Mandy Moore",리치 무어,Rich Moore,월트디즈니컴퍼니코리아 유한책임회사,"애니메이션,어드벤처,코미디,가족",전체관람가,2018-MF02246,Ralph Breaks the Internet,,미국,20190103,2018,,112
122522,20186324,언더독,20190116,5,20190120,https://ssl.pstatic.net/imgmovie/mdi/mit110/1443/144318_P19_100103.jpg,9.48,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144318,"도경수,박소담,박철민","DOH Kyung-soo,PARK So-dam,PARK Cheol-min","오성윤,이춘백","OH Sung-yoon,LEE Choon-baek",(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체관람가,2018-MF01150,Underdog,,한국,20190116,2018,(주)오돌또기 ,101
5019236,20180290,아쿠아맨,20181219,6,20190120,https://ssl.pstatic.net/imgmovie/mdi/mit110/1511/151153_P19_095147.jpg,8.39,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151153,"제이슨 모모아,앰버 허드,니콜 키드먼","Jason Momoa,Amber Heard,Nicole Kidman",제임스 완,James Wan,워너브러더스 코리아(주),액션,12세이상관람가,2018-MF02303 ,AQUAMAN,,"미국,호주",20181219,2018,,143
9866660,20185485,보헤미안 랩소디,20181031,8,20190120,https://ssl.pstatic.net/imgmovie/mdi/mit110/1564/156464_P49_182103.jpg,9.46,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156464,"라미 말렉,조셉 마젤로,마이크 마이어스","Rami Malek,Joseph Mazzello,Mike Myers",브라이언 싱어,Bryan Singer,이십세기폭스코리아(주),드라마,12세이상관람가,2018-MF01972,Bohemian Rhapsody,,미국,20181031,2018,,134
543815,20182421,그린치,20181219,10,20190106,https://ssl.pstatic.net/imgmovie/mdi/mit110/1506/150688_P30_101919.jpg,8.36,https://movie.naver.com/movie/bi/mi/basic.nhn?code=150688,베네딕트 컴버배치,Benedict Cumberbatch,스콧 모시어,Scott Mosier,유니버설픽쳐스인터내셔널 코리아(유),"애니메이션,코미디",전체관람가,2018-MF02028,The Grinch,,미국,20181219,2018,,89
262070,20178825,모털 엔진,20181205,8,20181216,https://ssl.pstatic.net/imgmovie/mdi/mit110/1564/156496_P24_153246.jpg,6.34,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156496,"헤라 힐마,로버트 시한,휴고 위빙","Hera Hilmar,Robert Sheehan,Hugo Weaving",크리스찬 리버스,Christian Rivers,유니버설픽쳐스인터내셔널 코리아(유),"액션,어드벤처,SF",12세이상관람가,2018-MF02210,Mortal Engines,,미국,20181205,2018,,128
5270621,20177538,완벽한 타인,20181031,10,20181216,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167638_P71_133542.jpg,8.66,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167638,"유해진,조진웅,이서진","YOO Hae-jin,CHO Jin-woong,LEE Seo-jin",이재규,LEE Jae-kyoo,롯데컬처웍스(주)롯데엔터테인먼트,"드라마,코미디",15세이상관람가,2018-MF01726,Intimate Strangers,,한국,20181031,2018,"(주)필름몬스터,드라마하우스(주)",115
2403686,20176814,신비한 동물들과 그린델왈드의 범죄,20181114,10,20181209,https://ssl.pstatic.net/imgmovie/mdi/mit110/1542/154255_P24_095824.jpg,6.28,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154255,"에디 레드메인,캐서린 워터스턴,앨리슨 수돌","Eddie Redmayne,Katherine Waterston,Alison Sudol",데이빗 예이츠,David Yates,워너브러더스 코리아(주),판타지,12세이상관람가,2018-MF02044,Fantastic Beasts: The Crimes of Grindelwald,FANTASTIC BEASTS THE CRIMES OF GRINDELWALD,미국,20181114,2018,,133
